"","Selectivity.Copepods","Selectivity.Amphipods","Selectivity.Decapod.larvae","Selectivity.Ostracods","Selectivity.Shrimp","Selectivity.Chaetognaths","Selectivity.Fish","Selectivity.Molluscs","Selectivity.Gelatinous.zooplankton"
"Heteroneme.free.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteroneme.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteroneme.volume..um3.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteroneme.shaft.free.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteroneme.shaft.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteroneme.number",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haploneme.free.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haploneme.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmoneme.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmoneme.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopaloneme.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopaloneme.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cnidoband.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cnidoband.free.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cnidoband.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haploneme.row.number..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tentacle.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pedicle.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elastic.strand.width..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Involucrum.length..um.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"coiledness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"heteroneme_elongation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"haploneme_elongation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"desmoneme_elongation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhopaloneme_elongation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"heteroneme_shaft_extension",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteroneme_to_CB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_heteroneme_volume",NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_haploneme_volume",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cnidomic_index",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAV_haploneme",NA,NA,NA,NA,NA,NA,NA,NA,NA
